"filename", "language", "Handlebars", "SCSS", "Markdown", "JavaScript", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\.prettierrc", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\Api.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 3, 47
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\ContactApi.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\MainApi.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\PageApi.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 6, 11, 95
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\ProductApi.js", "JavaScript", 0, 0, 0, 66, 0, 0, 0, 11, 16, 93
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\SaleApi.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 7, 46
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\app.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 17, 16, 70
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 3, 2, 18
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\controllers\ContactController.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
