Date : 2022-11-18 15:23:15
Directory : c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT
Total : 150 files,  14058 codes, 645 comments, 1070 blanks, all 15773 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         54 |      3,429 |        142 |        395 |      3,966 |
| SCSS       |         56 |      3,369 |        362 |        504 |      4,235 |
| CSS        |          1 |      3,344 |        133 |         98 |      3,575 |
| JSON       |          3 |      2,227 |          0 |          2 |      2,229 |
| Handlebars |         26 |      1,657 |          8 |         41 |      1,706 |
| Markdown   |          9 |         31 |          0 |         30 |         61 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        150 |     14,058 |        645 |      1,070 |     15,773 |
| api                                                                                                            |          6 |        241 |         17 |         41 |        299 |
| controllers                                                                                                    |          5 |        217 |          1 |         36 |        254 |
| db                                                                                                             |          2 |        531 |          3 |         23 |        557 |
| models                                                                                                         |         10 |        625 |         48 |         86 |        759 |
| models\DB                                                                                                      |          1 |         46 |          0 |          8 |         54 |
| public                                                                                                         |         22 |      4,879 |        178 |        264 |      5,321 |
| public\css                                                                                                     |          1 |      3,344 |        133 |         98 |      3,575 |
| public\img                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| public\js                                                                                                      |          3 |        239 |         31 |         41 |        311 |
| public\modules                                                                                                 |         10 |        763 |          4 |         78 |        845 |
| public\pages                                                                                                   |          7 |        532 |         10 |         47 |        589 |
| routers                                                                                                        |          5 |        120 |          5 |         13 |        138 |
| sass                                                                                                           |         64 |      3,398 |        362 |        533 |      4,293 |
| sass\abstracts                                                                                                 |          5 |         78 |         67 |         46 |        191 |
| sass\base                                                                                                      |          6 |        129 |          4 |         30 |        163 |
| sass\components                                                                                                |         20 |      1,114 |         38 |        142 |      1,294 |
| sass\layout                                                                                                    |         25 |      1,864 |        109 |        214 |      2,187 |
| sass\pages                                                                                                     |          2 |          5 |          0 |          6 |         11 |
| sass\themes                                                                                                    |          2 |          4 |          4 |          5 |         13 |
| sass\vendors                                                                                                   |          2 |        150 |        129 |         78 |        357 |
| src                                                                                                            |          1 |         29 |          0 |          1 |         30 |
| views                                                                                                          |         26 |      1,657 |          8 |         41 |      1,706 |
| views\layouts                                                                                                  |          1 |         16 |          1 |          4 |         21 |
| views\partials                                                                                                 |          8 |        506 |          0 |          1 |        507 |
| views\partials\components                                                                                      |          6 |        136 |          0 |          1 |        137 |
| views\partials\layout                                                                                          |          2 |        370 |          0 |          0 |        370 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\.prettierrc                                   | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\README.md                                     | Markdown   |          2 |          0 |          1 |          3 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\Api.js                                    | JavaScript |         44 |          0 |          3 |         47 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\ContactApi.js                             | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\MainApi.js                                | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\PageApi.js                                | JavaScript |         78 |          6 |         11 |         95 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\ProductApi.js                             | JavaScript |         66 |         11 |         16 |         93 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\api\SaleApi.js                                | JavaScript |         39 |          0 |          7 |         46 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\app.js                                        | JavaScript |         37 |         17 |         16 |         70 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\config.js                                     | JavaScript |         13 |          3 |          2 |         18 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\controllers\ContactController.js              | JavaScript |         15 |          0 |          3 |         18 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\controllers\MainController.js                 | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\controllers\PageController.js                 | JavaScript |         68 |          0 |         13 |         81 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\controllers\ProductController.js              | JavaScript |         94 |          1 |         12 |        107 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\controllers\SaleController.js                 | JavaScript |         31 |          0 |          5 |         36 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\db\hbsFiles.js                                | JavaScript |         13 |          0 |          5 |         18 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\db\products.js                                | JavaScript |        518 |          3 |         18 |        539 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\fillDB.js                                     | JavaScript |          5 |          2 |          4 |         11 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\hbsConfig.js                                  | JavaScript |         43 |          1 |          1 |         45 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ContactModel.js                        | JavaScript |         24 |          0 |          3 |         27 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\DB\MongoDB.js                          | JavaScript |         46 |          0 |          8 |         54 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ModelMem.js                            | JavaScript |         67 |          1 |         13 |         81 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ModelMongo.js                          | JavaScript |        162 |         13 |         14 |        189 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ModelMongoContact.js                   | JavaScript |         17 |          4 |          3 |         24 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ModelMongoSale.js                      | JavaScript |         59 |          6 |          7 |         72 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ModelPage.js                           | JavaScript |          9 |          0 |          3 |         12 |
